,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,lnfa,lnva,lnca,lnfsd,lntsd,asq,psq
0,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,1.9459101490553132,-1.3093333199837622,-1.0216512475319814,3.8066624897703196,5.135798437050262,77.44000000000001,9.0
1,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6.0,1.840549633397487,-1.2039728043259361,-1.0788096613719298,2.6390573296152584,4.882801922586371,90.25,10.889999999999999
2,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0,2.0918640616783932,-1.2729656758128873,-0.916290731874155,3.4011973816621555,4.574710978503383,102.00999999999999,10.6276
3,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6.0,1.9740810260220096,-1.4696759700589417,-1.1394342831883648,3.8501476017100584,5.225746673713202,98.01,10.1761
4,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6.0,1.9740810260220096,-1.4696759700589417,-1.1394342831883648,3.8501476017100584,5.225746673713202,98.01,10.1761
5,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6.0,2.0918640616783932,-1.2729656758128873,-0.916290731874155,3.4011973816621555,4.574710978503383,102.00999999999999,10.6276
6,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6.0,1.824549292051046,-1.1394342831883648,-1.8325814637483102,3.4011973816621555,4.912654885736052,92.16,10.112400000000001
7,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6.0,1.9459101490553132,-1.3093333199837622,-1.0216512475319814,3.8066624897703196,5.135798437050262,77.44000000000001,9.0
8,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6.0,1.840549633397487,-1.2039728043259361,-1.0788096613719298,2.6390573296152584,4.882801922586371,90.25,10.889999999999999
9,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6.0,2.0918640616783932,-1.5141277326297755,-0.843970070294529,3.332204510175204,4.859812404361672,121.0,10.368400000000001
10,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5.0,2.0918640616783932,-1.3093333199837622,-0.8915981192837836,2.3978952727983707,4.143134726391533,144.0,8.940100000000001
11,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5.0,2.151762203259462,-1.4696759700589417,-0.916290731874155,2.833213344056216,4.6913478822291435,94.08999999999999,9.8596
12,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5.0,2.066862759472976,-1.7147984280919266,-0.9942522733438669,2.772588722239781,4.31748811353631,116.64000000000001,10.112400000000001
13,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7.0,1.8870696490323797,-1.8325814637483102,-0.916290731874155,3.871201010907891,4.962844630259907,153.76000000000002,12.531600000000001
14,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5.0,2.1162555148025524,-0.8675005677047231,-0.4780358009429998,3.713572066704308,5.147494476813453,94.08999999999999,8.8804
15,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7.0,1.8870696490323797,-1.7719568419318752,-0.9675840262617056,3.332204510175204,4.718498871295094,129.96,10.5625
16,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6.0,1.840549633397487,-0.7339691750802004,-3.2188758248682006,3.4011973816621555,4.59511985013459,92.16,10.497600000000002
